main_word,language,local_word,Word_ID,matrix_bits
I,Arabic,أنا,1,100000000000000000000000
I,Chinese,我,1,100000000000000000000000
I,French,je,1,100000000000000000000000
I,German,ich,1,100000000000000000000000
I,Hindi,मैं,1,100000000000000000000000
I,Indonesian,saya,1,100000000000000000000000
I,Italian,io,1,100000000000000000000000
I,Japanese,私,1,100000000000000000000000
I,Korean,나,1,100000000000000000000000
I,Portuguese,eu,1,100000000000000000000000
I,Russian,я,1,100000000000000000000000
I,Spanish,yo,1,100000000000000000000000
I,Swahili,mimi,1,100000000000000000000000
I,Turkish,ben,1,100000000000000000000000
I,Urdu,میں,1,100000000000000000000000
I,Vietnamese,tôi,1,100000000000000000000000
I,English,I,1,100000000000000000000000
observe,Arabic,يلاحظ,2,010000000000000000000000
observe,Chinese,观察,2,010000000000000000000000
observe,French,observer,2,010000000000000000000000
observe,German,beobachten,2,010000000000000000000000
observe,Hindi,देखना,2,010000000000000000000000
observe,Indonesian,mengamati,2,010000000000000000000000
observe,Italian,osservare,2,010000000000000000000000
observe,Japanese,観察する,2,010000000000000000000000
observe,Korean,관찰하다,2,010000000000000000000000
observe,Portuguese,observar,2,010000000000000000000000
observe,Russian,наблюдать,2,010000000000000000000000
observe,Spanish,observar,2,010000000000000000000000
observe,Swahili,kuangalia,2,010000000000000000000000
observe,Turkish,gözlemlemek,2,010000000000000000000000
observe,Urdu,مشاہدہ کرنا,2,010000000000000000000000
observe,Vietnamese,quan sát,2,010000000000000000000000
observe,English,observe,2,010000000000000000000000
earth,Arabic,الأرض,3,001000000000000000000000
earth,Chinese,地球,3,001000000000000000000000
earth,French,terre,3,001000000000000000000000
earth,German,Erde,3,001000000000000000000000
earth,Hindi,पृथ्वी,3,001000000000000000000000
earth,Indonesian,bumi,3,001000000000000000000000
earth,Italian,terra,3,001000000000000000000000
earth,Japanese,地球,3,001000000000000000000000
earth,Korean,지구,3,001000000000000000000000
earth,Portuguese,terra,3,001000000000000000000000
earth,Russian,Земля,3,001000000000000000000000
earth,Spanish,tierra,3,001000000000000000000000
earth,Swahili,dunia,3,001000000000000000000000
earth,Turkish,dünya,3,001000000000000000000000
earth,Urdu,زمین,3,001000000000000000000000
earth,Vietnamese,trái đất,3,001000000000000000000000
earth,English,earth,3,001000000000000000000000
we,Arabic,نحن,4,000100000000000000000000
we,Chinese,我们,4,000100000000000000000000
we,French,nous,4,000100000000000000000000
we,German,wir,4,000100000000000000000000
we,Hindi,हम,4,000100000000000000000000
we,Indonesian,kami,4,000100000000000000000000
we,Italian,noi,4,000100000000000000000000
we,Japanese,私たち,4,000100000000000000000000
we,Korean,우리,4,000100000000000000000000
we,Portuguese,nós,4,000100000000000000000000
we,Russian,мы,4,000100000000000000000000
we,Spanish,nosotros,4,000100000000000000000000
we,Swahili,sisi,4,000100000000000000000000
we,Turkish,biz,4,000100000000000000000000
we,Urdu,ہم,4,000100000000000000000000
we,Vietnamese,chúng tôi,4,000100000000000000000000
we,English,we,4,000100000000000000000000
build,Arabic,يبني,5,000010000000000000000000
build,Chinese,建造,5,000010000000000000000000
build,French,construire,5,000010000000000000000000
build,German,bauen,5,000010000000000000000000
build,Hindi,बनाना,5,000010000000000000000000
build,Indonesian,membangun,5,000010000000000000000000
build,Italian,costruire,5,000010000000000000000000
build,Japanese,建てる,5,000010000000000000000000
build,Korean,짓다,5,000010000000000000000000
build,Portuguese,construir,5,000010000000000000000000
build,Russian,строить,5,000010000000000000000000
build,Spanish,construir,5,000010000000000000000000
build,Swahili,kujenga,5,000010000000000000000000
build,Turkish,inşa etmek,5,000010000000000000000000
build,Urdu,تعمیر کرنا,5,000010000000000000000000
build,Vietnamese,xây dựng,5,000010000000000000000000
build,English,build,5,000010000000000000000000
station,Arabic,محطة,6,000001000000000000000000
station,Chinese,车站,6,000001000000000000000000
station,French,station,6,000001000000000000000000
station,German,Bahnhof,6,000001000000000000000000
station,Hindi,स्टेशन,6,000001000000000000000000
station,Indonesian,stasiun,6,000001000000000000000000
station,Italian,stazione,6,000001000000000000000000
station,Japanese,駅,6,000001000000000000000000
station,Korean,역,6,000001000000000000000000
station,Portuguese,estação,6,000001000000000000000000
station,Russian,станция,6,000001000000000000000000
station,Spanish,estación,6,000001000000000000000000
station,Swahili,kituo,6,000001000000000000000000
station,Turkish,istasyon,6,000001000000000000000000
station,Urdu,اسٹیشن,6,000001000000000000000000
station,Vietnamese,nhà ga,6,000001000000000000000000
station,English,station,6,000001000000000000000000
you,Arabic,أنت,7,000000100000000000000000
you,Chinese,你,7,000000100000000000000000
you,French,tu,7,000000100000000000000000
you,German,du,7,000000100000000000000000
you,Hindi,आप,7,000000100000000000000000
you,Indonesian,kamu,7,000000100000000000000000
you,Italian,tu,7,000000100000000000000000
you,Japanese,あなた,7,000000100000000000000000
you,Korean,너,7,000000100000000000000000
you,Portuguese,você,7,000000100000000000000000
you,Russian,ты,7,000000100000000000000000
you,Spanish,tú,7,000000100000000000000000
you,Swahili,wewe,7,000000100000000000000000
you,Turkish,sen,7,000000100000000000000000
you,Urdu,آپ,7,000000100000000000000000
you,Vietnamese,bạn,7,000000100000000000000000
you,English,you,7,000000100000000000000000
repair,Arabic,يصلح,8,000000010000000000000000
repair,Chinese,修理,8,000000010000000000000000
repair,French,réparer,8,000000010000000000000000
repair,German,reparieren,8,000000010000000000000000
repair,Hindi,मरम्मत करना,8,000000010000000000000000
repair,Indonesian,memperbaiki,8,000000010000000000000000
repair,Italian,riparare,8,000000010000000000000000
repair,Japanese,修理する,8,000000010000000000000000
repair,Korean,수리하다,8,000000010000000000000000
repair,Portuguese,reparar,8,000000010000000000000000
repair,Russian,ремонтировать,8,000000010000000000000000
repair,Spanish,reparar,8,000000010000000000000000
repair,Swahili,kutengeneza,8,000000010000000000000000
repair,Turkish,tamir etmek,8,000000010000000000000000
repair,Urdu,مرمت کرنا,8,000000010000000000000000
repair,Vietnamese,sửa chữa,8,000000010000000000000000
repair,English,repair,8,000000010000000000000000
experiment,Arabic,تجربة,9,000000001000000000000000
experiment,Chinese,实验,9,000000001000000000000000
experiment,French,expérience,9,000000001000000000000000
experiment,German,Experiment,9,000000001000000000000000
experiment,Hindi,प्रयोग,9,000000001000000000000000
experiment,Indonesian,eksperimen,9,000000001000000000000000
experiment,Italian,esperimento,9,000000001000000000000000
experiment,Japanese,実験,9,000000001000000000000000
experiment,Korean,실험,9,000000001000000000000000
experiment,Portuguese,experimento,9,000000001000000000000000
experiment,Russian,эксперимент,9,000000001000000000000000
experiment,Spanish,experimento,9,000000001000000000000000
experiment,Swahili,jaribio,9,000000001000000000000000
experiment,Turkish,deney,9,000000001000000000000000
experiment,Urdu,تجربہ,9,000000001000000000000000
experiment,Vietnamese,thí nghiệm,9,000000001000000000000000
experiment,English,experiment,9,000000001000000000000000
they,Arabic,هم,10,000000000100000000000000
they,Chinese,他们,10,000000000100000000000000
they,French,ils,10,000000000100000000000000
they,German,sie,10,000000000100000000000000
they,Hindi,वे,10,000000000100000000000000
they,Indonesian,mereka,10,000000000100000000000000
they,Italian,loro,10,000000000100000000000000
they,Japanese,彼ら,10,000000000100000000000000
they,Korean,그들,10,000000000100000000000000
they,Portuguese,eles,10,000000000100000000000000
they,Russian,они,10,000000000100000000000000
they,Spanish,ellos,10,000000000100000000000000
they,Swahili,wao,10,000000000100000000000000
