,Language,Word,Token ID
love,Arabic,حب,[68050]
love,German,Liebe,[26408]
love,English,love,[1300]
love,Spanish,amor,[15633]
love,French,amour,[24855]
love,Hindi,प्यार,"[20121, 185195, 132788]"
love,Indonesian,cinta,[46654]
love,Italian,amore,[18815]
love,Japanese,愛,[14232]
love,Dutch,liefde,[87363]
love,Portuguese,amor,[15633]
love,Russian,любовь,[69649]
love,Thai,รัก,"[86592, 137270, 181902]"
love,Turkish,aşk,[171063]
love,Vietnamese,tình yêu,"[19257, 29081]"
love,Chinese,爱,[62885]
love,Korean,사랑,"[9919, 100881]"
peace,Arabic,سلام,[78459]
peace,German,Frieden,[41010]
peace,English,peace,[8043]
peace,Spanish,paz,[24566]
peace,French,paix,[27346]
peace,Hindi,शांति,[173653]
peace,Indonesian,damai,"[3879, 751]"
peace,Italian,pace,[12170]
peace,Japanese,平和,"[8523, 576]"
peace,Dutch,vrede,[97571]
peace,Portuguese,paz,[24566]
peace,Russian,мир,[20932]
peace,Thai,สันติภาพ,"[142074, 137270, 115360, 157882, 146076, 183177, 78059, 190121]"
peace,Turkish,barış,[156211]
peace,Vietnamese,hòa bình,"[19206, 15003]"
peace,Chinese,和平,"[576, 8523]"
peace,Korean,평화,"[136628, 21383]"
courage,Arabic,شجاعة,"[5522, 165757]"
courage,German,Mut,[122323]
courage,English,courage,[27244]
courage,Spanish,coraje,"[1168, 12505]"
courage,French,courage,[27244]
courage,Hindi,साहस,"[33154, 104723]"
courage,Indonesian,keberanian,"[3246, 1151, 16226]"
courage,Italian,coraggio,[99259]
courage,Japanese,勇気,"[49830, 16061]"
courage,Dutch,moed,"[972, 107]"
courage,Portuguese,coragem,"[1168, 16099]"
courage,Russian,мужество,[71689]
courage,Thai,กล้าหาญ,"[141404, 184705, 159072, 78059, 160085, 78059, 190737]"
courage,Turkish,cesaret,"[10002, 44735]"
courage,Vietnamese,can đảm,"[225, 58405]"
courage,Chinese,勇气,"[49830, 46579]"
courage,Korean,용기,"[32158, 6726]"
hope,Arabic,أمل,[159006]
hope,German,Hoffnung,[69835]
hope,English,hope,[4833]
hope,Spanish,esperanza,[75874]
hope,French,espoir,[63944]
hope,Hindi,आशा,"[20459, 138554]"
hope,Indonesian,harapan,"[1497, 64582]"
hope,Italian,speranza,[82439]
hope,Japanese,希望,"[36131, 15366]"
hope,Dutch,hoop,[75511]
hope,Portuguese,esperança,[132232]
hope,Russian,надежда,"[27135, 107908]"
hope,Thai,ความหวัง,"[170625, 145702, 78059, 141499, 160085, 145702, 137270, 174117]"
hope,Turkish,umut,"[948, 2380]"
hope,Vietnamese,hy vọng,"[31327, 68162]"
hope,Chinese,希望,"[36131, 15366]"
hope,Korean,희망,"[90124, 143210]"
fear,Arabic,خوف,"[7698, 63865]"
fear,German,Angst,[65724]
fear,English,fear,[5504]
fear,Spanish,miedo,[89226]
fear,French,peur,[47144]
fear,Hindi,भय,[183508]
fear,Indonesian,ketakutan,"[9493, 897, 13489]"
fear,Italian,paura,[78549]
fear,Japanese,恐れ,"[120203, 135]"
fear,Dutch,angst,[105960]
fear,Portuguese,medo,[82163]
fear,Russian,страх,"[9999, 4401]"
fear,Thai,ความกลัว,"[170625, 145702, 78059, 141499, 141404, 155193, 137270, 185949]"
fear,Turkish,korku,[173694]
fear,Vietnamese,sợ hãi,"[83591, 365, 75015]"
fear,Chinese,恐惧,"[120203, 170235]"
fear,Korean,두려움,"[16589, 33120, 116975]"
happiness,Arabic,سعادة,"[5949, 35907]"
happiness,German,Glück,[70074]
happiness,English,happiness,[29788]
happiness,Spanish,felicidad,[148778]
happiness,French,bonheur,[104059]
happiness,Hindi,खुशी,"[86175, 104922]"
happiness,Indonesian,kebahagiaan,"[72089, 2107, 14411, 671]"
happiness,Italian,felicità,"[5641, 52945]"
happiness,Japanese,幸福,"[47615, 21410]"
happiness,Dutch,geluk,"[2155, 8334]"
happiness,Portuguese,felicidade,"[5641, 65750]"
happiness,Russian,счастье,"[118579, 10351]"
happiness,Thai,ความสุข,"[170625, 145702, 78059, 141499, 142074, 159094, 190447]"
happiness,Turkish,mutluluk,"[4110, 173909]"
happiness,Vietnamese,hạnh phúc,"[140086, 138313]"
happiness,Chinese,幸福,"[47615, 21410]"
happiness,Korean,행복,"[51127, 81018]"
knowledge,Arabic,معرفة,[112956]
knowledge,German,Wissen,[50814]
knowledge,English,knowledge,[6537]
knowledge,Spanish,conocimiento,[33280]
knowledge,French,connaissance,[24572]
knowledge,Hindi,ज्ञान,"[26425, 185195, 54358]"
knowledge,Indonesian,pengetahuan,"[1469, 4999, 21239, 52]"
knowledge,Italian,conoscenza,[35600]
knowledge,Japanese,知識,"[4071, 55595]"
knowledge,Dutch,kennis,[64685]
knowledge,Portuguese,conhecimento,[50934]
knowledge,Russian,знание,[134023]
knowledge,Thai,ความรู้,"[170625, 145702, 78059, 141499, 86592, 189169, 159072]"
knowledge,Turkish,bilgi,[49049]
knowledge,Vietnamese,kiến thức,"[28800, 13201]"
knowledge,Chinese,知识,"[4071, 107323]"
knowledge,Korean,지식,"[7601, 27427]"
thirst,Arabic,عطش,"[151483, 14100]"
thirst,German,Durst,"[9991, 1346]"
thirst,English,thirst,"[16033, 1346]"
thirst,Spanish,sed,[1075]
thirst,French,soif,"[1355, 246]"
thirst,Hindi,प्यास,"[20121, 185195, 91965]"
