main_word,language,local_word,token_id
love,English,love,1300
love,Spanish,amor,15633
love,French,amour,24855
love,Hindi,प्यार,20121
love,Indonesian,cinta,46654
love,Italian,amore,18815
love,Japanese,愛,14232
love,Dutch,liefde,87363
love,Portuguese,amor,15633
love,Russian,любовь,69649
love,Thai,รัก,86592
love,Turkish,aşk,171063
love,Vietnamese,tình yêu,19257
love,Chinese,爱,62885
love,Korean,사랑,9919
love,Arabic,سلام,78459
love,German,Frieden,41010
peace,English,peace,8043
peace,Spanish,paz,24566
peace,French,paix,27346
peace,Hindi,शांति,173653
peace,Indonesian,damai,3879
peace,Italian,pace,12170
peace,Japanese,平和,8523
peace,Dutch,vrede,97571
peace,Portuguese,paz,24566
peace,Russian,мир,20932
peace,Thai,สันติภาพ,142074
peace,Turkish,barış,156211
peace,Vietnamese,hòa bình,19206
peace,Chinese,和平,576
peace,Korean,평화,136628
peace,Arabic,شجاعة,5522
peace,German,Mut,122323
courage,English,courage,27244
courage,Spanish,coraje,1168
courage,French,courage,27244
courage,Hindi,साहस,33154
courage,Indonesian,keberanian,3246
courage,Italian,coraggio,99259
courage,Japanese,勇気,49830
courage,Dutch,moed,972
courage,Portuguese,coragem,1168
courage,Russian,мужество,71689
courage,Thai,กล้าหาญ,141404
courage,Turkish,cesaret,10002
courage,Vietnamese,can đảm,225
courage,Chinese,勇气,49830
courage,Korean,용기,32158
courage,Arabic,أمل,159006
courage,German,Hoffnung,69835
hope,English,hope,4833
hope,Spanish,esperanza,75874
hope,French,espoir,63944
hope,Hindi,आशा,20459
hope,Indonesian,harapan,1497
hope,Italian,speranza,82439
hope,Japanese,希望,36131
hope,Dutch,hoop,75511
hope,Portuguese,esperança,132232
hope,Russian,надежда,27135
hope,Thai,ความหวัง,170625
hope,Turkish,umut,948
hope,Vietnamese,hy vọng,31327
hope,Chinese,希望,36131
hope,Korean,희망,90124
hope,Arabic,خوف,7698
hope,German,Angst,65724
fear,English,fear,5504
fear,Spanish,miedo,89226
fear,French,peur,47144
fear,Hindi,भय,183508
fear,Indonesian,ketakutan,9493
fear,Italian,paura,78549
fear,Japanese,恐れ,120203
fear,Dutch,angst,105960
fear,Portuguese,medo,82163
fear,Russian,страх,9999
fear,Thai,ความกลัว,170625
fear,Turkish,korku,173694
fear,Vietnamese,sợ hãi,83591
fear,Chinese,恐惧,120203
fear,Korean,두려움,16589
fear,Arabic,سعادة,5949
